KEY	VALUE	COMMENTS
__id	jp	en		
__name	日本語	English	
button.play	プレイ
convo.goons.rewards.offer.blurb.business-entry.homebooze-high	先日、お前の店で一杯やったよ。酒は足りてるか？ 市外にいい仕入れ先があるんだ。 {expiredate} に買い付けに行くから、出発までに {cost} 用意しておけ。セーフハウスに届けさせてやる。
convo.goons.rewards.offer.blurb.business-entry.level-two	瓶入りの自家製酒もいいが、客の舌が肥えてきたなら俺の出番だ。俺の「友人」が、かなりマシなブツを造ってるんだ。 {cost} 預けてくれれば、 {expiredate} 頃に配送を手配してやる。
convo.goons.rewards.offer.blurb.business-entry.level-two-high	あんたの酒場、界隈で評判だぜ。俺の叔父や叔母もあそこがお気に入りでな。で、その叔父の一人が商売人で、州外からかなり上等な酒を仕入れるルートを持ってるんだ。奴に {cost} 渡しておけば、 {expiredate} までに届けてくれるはずだ。

convo.goons.rewards.accept.confirm	ああ、興味がある。これが {cost} だ。ブツが届いたら知らせてくれ。\n<indent=15><i>（即座に {cost} 支払う。後で {reward} を獲得。）</i></indent>
convo.goons.rewards.accept.confirm.mo	後日の違法な品物の配送のために前払いをする
convo.goons.rewards.accept.decline	俺には必要ないな。またの機会にしてくれ。
convo.goons.rewards.accept.decline.mo	提案を断る

convo.goons.rewards.post.confirm.blurb	よし。ブツは {expiredate} に手に入るから、その頃また来な！
convo.goons.rewards.post.decline.blurb	分かった。気が変わったら {expiredate} までに教えろよ。
convo.goons.rewards.post.goodbye	了解だ。またその時に。

convo.goons.rewards.ready.button.resource	さて、金を払ったブツの件だが。
convo.goons.rewards.ready.button.business	金を払った商品の件はどうなった？
convo.goons.rewards.ready.mo	闇取引の結果について相談する
convo.goons.rewards.ready.icon	<sprite name="ui goon op ready">
convo.goons.rewards.ready.blurb	辛抱強く待った甲斐があったな。お前のセーフハウスにブツを送っておくぞ。\n<indent=15><i>（ {reward} 獲得。）</i></indent>
convo.goons.rewards.ready.confirm	上出来だ、送っておけ。いい商売ができた。
convo.goons.rewards.ready.confirm.mo	取引を完了し、報酬をセーフハウスに送らせる

convo.goons.cop-effect.at-node.button	今日はこの角地、ずいぶん騒がしいようだな。
convo.goons.cop-effect.at-node.button.mo	警察の存在について話す
convo.goons.cop-effect.at-node.blurb	シッ！ 今は目立ちたくないんだ。サツがいなくなってからまた来な。
convo.goons.cop-effect.at-node.leave.button	ああ、奴らに目を付けられるのはごめんだ。また後でな。

convo.goons.persuader-option-ask	隠れ家に何を溜め込んでる？ 一度しか言わないぞ。俺が必要な情報を手に入れるのは分かってるはずだ。
convo.goons.persuader-option-ask.mo	チンピラが隠れ家に保管しているアイテムを吐かせる
convo.goons.persuader-option-ask-npc	ここには……ああ、大したものはねえよ。お前らが興味を持つようなもんじゃない。だが、どうしてもって言うならリストをやるよ。ちょっと待て。
convo.goons.persuader-option-ask-player	ああ、そのリストを貰おうか。
convo.goons.persuader-reveal-resources-npc	今持ってるのはこれだけだ：\n<indent=30><i>{safehouseInfo}</i></indent>
convo.goons.persuader-reveal-resources-player	ふむ。ボスに見せて、どれをいただくか決めるとしよう。あばよ。

;; カナダ関連

convo.goons.rewards.offer.blurb.business-entry.canada-money	川を渡るフェリーで働いてる友人がいてな。彼女は頻繁にカナダに行ってるんだ。もし向こうに現金を送りたきゃ、彼女が力になるぜ。$500ほど送ってやるよ。経費を少し上乗せしてくれりゃあな。どうだい？
convo.goons.rewards.offer.blurb.business-entry.canada-goods	俺の従兄弟が鉄道で働いててな。デトロイト行きの列車に荷を積む仕事だ。もしデトロイトの向こう岸まで運びたいブツがあるなら、俺が合図した時に車で持ってきな。後は従兄弟がうまくやってくれる。乗るか？

	;; 敵対組織（ギャング）との会話

convo.gangs.goodbye	あばよ。

convo.gangs.fight.button	お前らの存在を黙って見てるのも、もう限界だ。
convo.gangs.fight.icon	<sprite name="ui weapon fist">
convo.gangs.fight.blurb	ほう？ で、どうしようってんだ？
convo.gangs.fight.blurb	今のは脅しのつもりか？
convo.gangs.fight.blurb	限界だと？ 俺たちの存在が？ ……教育が必要なようだな。
convo.gangs.fight.blurb	（鼻で笑う）
convo.gangs.fight.confirm	これ以上、野放しにはしておかん。\n<indent=15><i>（即座に攻撃する。）</i></indent>
convo.gangs.fight.confirm.mo	現在地にいるクルーで攻撃する。敵対されたり、予期せぬ事態を招くリスクがあるぞ。
convo.gangs.fight.cancel	後で決着をつけてやる。

convo.gangs.cop-effect.at-node.button	ふん、サツが嗅ぎ回ってやがるな。商売の話をしたかったが、また出直した方が良さそうだ。
convo.gangs.cop-effect.at-node.button.mo	警察の存在について話す
convo.gangs.cop-effect.at-node.blurb	それが賢明だな。奴らの目に留まるのは、お互い御免だ。
convo.gangs.cop-effect.at-node.leave.button	また後で来る。

	;; 休戦交渉
convo.gangs.truce.button	おい、これ以上やり合っても商売の邪魔なだけだ。もっと「儲かる」話をしないか？
convo.gangs.truce-1.npc	おや、もう降参か？
convo.gangs.truce-1.say	勘違いするな。だが、こんな小競り合いを続けても、お互い一銭にもならんのは分かってるだろ。\nそれに、俺たちが足を引っ張り合ってる間に、他のハイエナ共に横取りされるのも癪だからな。
convo.gangs.truce-2.npc	具体的な提案があるなら、聞こうじゃないか。
convo.gangs.truce-2.say	休戦の提案だ。しばらくの間、敵対行為はやめて金稼ぎに集中しよう。他の連中に付け入る隙を与えないためにもな。\n<indent=15><i>（休戦を申し込む。）</i></indent>
convo.gangs.truce-2.later	また連絡する。
convo.gangs.truce-2.epi	ここにいるよ。
convo.gangs.truce-price.npc	休戦したいってなら、吝かじゃない。だが、タダってわけにはいかないな。「平和」の対価は {amt} だ。\n<i>（休戦は {days} 日間有効。その間、相手は敵対行為を行わない。）</i>
convo.gangs.truce-price.yes	いいだろう。それで手を打とう。\n<indent=15><i>（ {amt} 支払い、 {days} 日間の休戦を開始。）</i></indent>
convo.gangs.truce-price.yes-epi	決まりだ。
convo.gangs.truce-price.no	冗談だろ？\n<indent=15><i>（拒絶する。）</i></indent>
convo.gangs.truce-price.no-epi	どんなものにも「対価」が必要なんだよ。
convo.gangs.truce-fail.npc	そう言ってくると思ったよ。だが、休戦に応じる気はないな。
convo.gangs.truce-fail.say	なら、これ以上話すことはないな。
convo.gangs.truce-fail.epi	そうだろうと思ったよ。
convo.gangs.truce-broken.npc	意図的に以前の約束を破っておいて、どの面下げてまた頼みに来たんだ？
convo.gangs.truce-broken.say	ああ、あれは事故だ。こちらの不手際はきっちり片付けておくと約束しよう。\n過ぎたことは水に流して、もう一度チャンスをくれないか。
convo.gangs.truce-broken.epi	断る。

	;; 拡大条約（不可侵協定）
convo.gangs.expansion-treaty.button	近頃、互いの縄張りが近くなりすぎているな。面倒なことになる前に、不可侵の約束をしないか。
convo.gangs.expansion-treaty-1.npc	はっ！ 俺がそんな約束をする理由があるか？ お前の近くには、まだいくらでも儲け話が転がってるんだぞ。
convo.gangs.expansion-treaty-1.say	全面戦争に発展すれば、その儲けもすべて吹っ飛ぶことになる。そうは思わないか？
convo.gangs.expansion-treaty-2.npc	ただの世間話か、それとも提案があるのか？
convo.gangs.expansion-treaty-2.say	互いの縄張りから3角地以内には、新しい拠点を設営しないという約束だ。\n<indent=15><i>（拡大条約を申し込む。）</i></indent>
convo.gangs.expansion-treaty-2.later	また連絡する。
convo.gangs.expansion-treaty-2.epi	ここにいるぞ。
convo.gangs.expansion-treaty-price.npc	タダじゃねえことは分かってるな？ 俺にそれだけの商機を諦めろと言うんだから。 {amt} で受けてやろう。\n<i>（拡大条約は {days} 日間有効。その間、相手はお前の近くに拠点を設営しない。）</i>
convo.gangs.expansion-treaty-price.yes	必要経費だ。手を打とう。\n<indent=15><i>（ {amt} 支払い、 {days} 日間の拡大条約を開始。）</i></indent>
convo.gangs.expansion-treaty-price.yes-epi	いい商売ができた。
convo.gangs.expansion-treaty-price.no	自分のシマを守るために、そんな大金を払えだと？ 忘れてくれ。
convo.gangs.expansion-treaty-price.no-epi	話のわかる奴だと思ってたんだがな。
convo.gangs.expansion-treaty-fail.npc	俺の縄張り戦略に、お前の指図を受けるつもりはない。
convo.gangs.expansion-treaty-fail.say	時間の無駄だったな。
convo.gangs.expansion-treaty-fail.epi	どこで商売するかは俺が決める。

	;; 共闘交渉
convo.gangs.joint-war.button	俺の組織が最近、近所と揉めてるのは知ってるだろ。助けてくれないか？
convo.gangs.joint-war-choose-target.npc	ああ、噂は聞いてる。どの組織の話だ？
convo.gangs.joint-war-choose-target.say	 {outfitName} が今の懸念材料だ。
convo.gangs.joint-war-1.npc	 {outfitNameTarget} か。お前らがやり合うのは勝手だが、誰の得にもならん。他人の戦争に首を突っ込む義理はないな。
convo.gangs.joint-war-1.say	言った通りだ。 {outfitNameTarget} が調子に乗ってデカくなるのは、お前らにとっても面白くないだろ？ 俺一人でも片付けられるが、かなり荒っぽいことになる。だから助力を求めているんだ、分かるだろ？
convo.gangs.joint-war-2.npc	そいつはデカい頼みだな。俺の身内を危険に晒すことになる。
convo.gangs.joint-war-2.say	もちろんだ。タダでとは言わんよ。\n<indent=15><i>（ {outfitNameTarget} との共闘を要請する。）</i></indent>
convo.gangs.joint-war-price.npc	ようやく本題だな。 {amt} 積むなら乗ってやろう。\n<i>（共闘条約を結ぶと、相手は少なくとも {days} 日間、 {outfitNameTarget} との戦争に加わる。）</i>
convo.gangs.joint-war-price.yes	妥当な金額だ。
convo.gangs.joint-war-price.yes-epi	よし、共に戦おう。
convo.gangs.joint-war-price.no	俺の財布には少々重すぎる。自分たちで何とかするよ。
convo.gangs.joint-war-price.no-epi	悪いが、それ以下じゃ身内の命は預けられん。
convo.gangs.joint-war-fail.npc	俺を巻き込むな。自分の喧嘩は自分で始末しろ。
convo.gangs.joint-war-fail.say	いいだろう。

	;; 相手からの提案（イニシアチブ）

convo.gangs.initiative	俺に何か用があると聞いたが？

convo.gangs.init-truce-1.npc	ああ。俺たち、しばらくの間やり合ってきたな？
convo.gangs.init-truce-1.say	そうだな。
convo.gangs.init-truce-2.npc	お互い気づいているはずだ。こんなこと、何の得にもならん。
convo.gangs.init-truce-2.say	それはお前の都合だろ。
convo.gangs.init-truce-3.npc	いいか、この喧嘩に気を取られている間に、儲け話がどんどん逃げていってるんだ。しばらく休戦しないか？
convo.gangs.init-truce-3.say	俺がそうする理由があるか？
convo.gangs.init-truce-price.npc	お前にもメリットがあるからだ。誠意の印として {amt} 付けてやるよ。\n<i>（相手は {days} 日間の休戦と引き換えに {amt} を提示した。）</i>
convo.gangs.init-truce-price.agree	いいだろう。その条件で飲もう。\n<indent=15><i>（ {amt} を受け取り、 {days} 日間の休戦を開始。）</i></indent>
convo.gangs.init-truce-price.agree-epi	話がまとまって何よりだ。
convo.gangs.init-truce-price.decline	断る。\n<indent=15><i>（拒絶する。）</i></indent>
convo.gangs.init-truce-price.decline-epi	お前の商売感覚を見誤ったようだな。
convo.gangs.init-truce-price.snooze	一晩考えさせてくれ。
convo.gangs.init-truce-price.snooze-epi	構わんが、あまり待たせるなよ。

convo.gangs.init-expansion-treaty-1.npc	ああ。お前の拠点が、俺の縄張りにかなり近づいてきていると思わないか？
convo.gangs.init-expansion-treaty-1.say	お前がどこをシマだと思っていようが、俺の知ったことじゃないな。
convo.gangs.init-expansion-treaty-2.npc	そいつは危険な考えだ。少しは気にかけた方がいい。
convo.gangs.init-expansion-treaty-2.say	脅してるのか？
convo.gangs.init-expansion-treaty-3.npc	まさか。ただ、紳士的に、俺の縄張りから少なくとも3角地は離れていろと頼んでるだけだ。
convo.gangs.init-expansion-treaty-3.say	俺に何の得がある？
convo.gangs.init-expansion-treaty-price.npc	これは取引だ。商売が必要なのは分かってる。ただ、これ以上近づいて揉め事にしたくないだけだ。損失補填として {amt} 払ってやるよ。俺は気前がいいからな。\n<i>（相手は {days} 日間の不可侵条約と引き換えに {amt} を提示した。）</i>
convo.gangs.init-expansion-treaty-price.agree	わざわざ出向いてくれたんだ……。よし、乗ろう。\n<indent=15><i>（ {amt} を受け取り、 {days} 日間の拡大条約を開始。）</i></indent>
convo.gangs.init-expansion-treaty-price.agree-epi	これはお互いのためだ。信じてくれ。
convo.gangs.init-expansion-treaty-price.decline	悪いが、その話には乗れんな。分かってくれるだろ？\n<indent=15><i>（拒絶する。）</i></indent>
convo.gangs.init-expansion-treaty-price.decline-epi	いいだろう。俺が平和的に解決しようとしたことだけは、忘れないでおけよ。
convo.gangs.init-expansion-treaty-price.snooze	少し考えさせてくれ。
convo.gangs.init-expansion-treaty-price.snooze-epi	ああ、だが長くは待たんぞ。

convo.gangs.init-tied-house-1.npc	よう、単刀直入に言おう。ある店にひどく興味があってな。
convo.gangs.init-tied-house-1.say	ほう、どこだ？
convo.gangs.init-tied-house-2.npc	 {bizname} だ。あそこと商売をしたいんだが、お前と独占契約を結んでるらしいじゃないか。
convo.gangs.init-tied-house-2.say	ああ、その通りだ。
convo.gangs.init-tied-house-3.npc	取引しないか？ {amt} 払うから、 {bizname} との契約を俺たちに譲ってくれ。
convo.gangs.init-tied-house-3.agree	いい響きだ。承知した。\n<indent=15><i>（ {amt} を獲得し、その店舗の独占契約を解除する。）</i></indent>
convo.gangs.init-tied-house-3.agree-epi	協力し合えるのは素晴らしいことだ。お互い得をするからな。
convo.gangs.init-tied-house-3.snooze	考えさせてくれ。
convo.gangs.init-tied-house-3.snooze-epi	構わん、だが早めに頼むぜ。
convo.gangs.init-tied-house-3.decline	悪いが、そうはいかないな。\n<indent=15><i>（拒絶する。）</i></indent>
convo.gangs.init-tied-house-3.decline-epi	好意的なオファーを断られるのは、あまり気分が良くないな。

convo.gangs.init-joint-war-1.npc	聞いた通りだ。折り入って頼みたい「デカい貸し」があってな。
convo.gangs.init-joint-war-1.say	話せよ。
convo.gangs.init-joint-war-2.npc	俺の組が {gangTarget} とかなり深くやり合っててな。自分たちで始末をつけたいんだが、どうも手助けが必要らしい。力を貸してくれるか？
convo.gangs.init-joint-war-2.say	それはデカい頼みだな。そんな貸しは安くないぞ。
convo.gangs.init-joint-war-price.npc	分かってる。俺の味方としてこの喧嘩に加わってくれるなら、 {amt} 出そう。
convo.gangs.init-joint-war-price.agree	かなりの大金だな。乗ったぜ。\n<indent=15><i>（ {amt} を受け取り、 {days} 日間 {gangTarget} との戦争に加わる。）</i></indent>
convo.gangs.init-joint-war-price.agree-epi	後悔はさせないぞ。
convo.gangs.init-joint-war-price.decline	悪いが、そのために身内を危険にさらすわけにはいかない。\n<indent=15><i>（拒絶する。）</i></indent>
convo.gangs.init-joint-war-price.decline-epi	理解はできる。だが、助けが必要な味方を突き放すのは、あまり縁起がいいとは言えんな。
convo.gangs.init-joint-war-price.snooze	重大な決断だ。少し考えさせてくれ。
convo.gangs.init-joint-war-price.snooze-epi	ああ、だが返事は急いでくれよ。

;; 敵対組織：拠点の乗っ取り関連
convo.gangs.init-stolen-outpost-1.npc	俺が拠点の店主たちと話してないとでも思っているのか？ 俺のシマでコソコソ嗅ぎ回るんじゃねえ。目障りなんだよ。
convo.gangs.init-stolen-outpost-1.say	ただの世間話に何をそんなにカリカリしてるんだ？ 自由な国だろ、違うか？
convo.gangs.init-stolen-outpost-2.npc	いいか、お前が善意で手を引くなんて期待しちゃいない。ここに来たのは、手を引くべき「理由」をやるためだ。
convo.gangs.init-stolen-outpost-2.say	ほう、そいつは興味深い話だな。聞こうじゃないか。
convo.gangs.init-stolen-outpost-price.npc	 {amt} 用意した。代わりに、俺の拠点の店主たちとの「お喋り」は今日限りでやめてもらおうか。
convo.gangs.init-stolen-outpost-price.agree	悪くない条件だ。乗ったぜ。\n<indent=15><i>（ {amt} を獲得し、相手の拠点を荒らさないという協定を結ぶ。）</i></indent>
convo.gangs.init-stolen-outpost-price.agree-epi	約束を破るんじゃねえぞ。
convo.gangs.init-stolen-outpost-price.decline	公平な取引とは思えんな。断る。\n<indent=15><i>（拒絶する。）</i></indent>
convo.gangs.init-stolen-outpost-price.decline-epi	いいだろう。後で泣き言を言いに来るなよ。俺は大人として解決しようとしたんだからな。
convo.gangs.init-stolen-outpost-price.snooze	少し考えさせてくれ。いいだろ？
convo.gangs.init-stolen-outpost-price.snooze-epi	あまり待たせるなよ。

	;; 独占取引（タイドハウス）の譲渡交渉
convo.gangs.tied-house-start	なあ、 {bizname} の件で話をしたい。
convo.gangs.tied-house-1.npc	あの店がどうした？
convo.gangs.tied-house-1.say	小耳に挟んだんだが、 {npcname} を独占契約で縛ってるらしいな。他の奴らとは一切取引させないように。
convo.gangs.tied-house-2.npc	お前、野鳥観察の趣味でもあるのか？ ……まあ、その通りだ。
convo.gangs.tied-house-2.say	いいか、俺も {bizname} と商売がしたいんだが、店主がお前にビビり倒してる。……取引をしないか？ 奴を解放してやれ。
convo.gangs.tied-house-3.npc	互いに得をする取引だと？ いいだろう。あんな優良店を手放すんだ、 {amt} は頂くぞ。それで手を打ってやる。
convo.gangs.tied-house-3.say	決まりだ。お前の言葉を信じていいんだな？\n<indent=15><i>（ {amt} 支払い、 {days} 日間の {bizname} との独占権を得る。）</i></indent>
convo.gangs.tied-house-3.sayepi	もちろんだ。俺の名声はストリートに響き渡ってるからな。
convo.gangs.tied-house-3.no	そんな条件で飲むわけないだろ。
convo.gangs.tied-house-3.noepi	勝手にしろ。

convo.gangs.tied-house-fail-npc	ああ、あそこか。昔は商売してたが、今はもうやってない。
convo.gangs.tied-house-fail-say	なら、俺たちが面倒を見ても構わないよな？
convo.gangs.tied-house-fail-epi	俺の知ったことじゃない。

	;; 拠点への嫌がらせに対する抗議
convo.gangs.stolen-outpost.button	なぜ俺の拠点を嗅ぎ回っているんだ？
convo.gangs.stolen-outpost-1.npc	何の話だ？
convo.gangs.stolen-outpost-1.say	とぼけるな。封筒を集めてた俺の店に、お前が現れてから、店主が急に取引を怖がり始めたんだよ。余計な首を突っ込むんじゃねえ。
convo.gangs.stolen-outpost-2.npc	そいつは悪かったな。だが、これもビジネスだ。俺たちもシマを守り、成長するスペースが必要なんでね。お前だって同じ立場ならそうするだろ？
convo.gangs.stolen-outpost-2.say	いいか、俺も善意で手を引けなんて言わん。お前が止まるべき「理由」を提示してやるよ。
convo.gangs.stolen-outpost-price.npc	ほう、なら話を聞こうじゃないか。
convo.gangs.stolen-outpost-price.yes	 {amt} 払ってやる。代わりに、俺の拠点の店主にちょっかいを出すのはやめろ。\n<indent=15><i>（ {amt} 支払い、互いの拠点を不可侵とする協定を結ぶ。）</i></indent>
convo.gangs.stolen-outpost-price.yes-epi	いいだろう、取引成立だ。
convo.gangs.stolen-outpost-fail.npc	公平じゃないな。答えはノーだ。
convo.gangs.stolen-outpost-fail.say	背後に気を付けるんだな。
convo.gangs.stolen-outpost-fail.epi	逃げも隠れもしないぞ。

	;; 敵対組織の支配下にある建物
convo.gang-building.npc	ここではあんたに協力できることは何もないよ。\n<i>（この店は {groupname} の支配下にある。）</i>
convo.gang-building.fight.button	いい店じゃないか。何かが起きたらもったいないな。
convo.gang-building.fight.npc	俺の店じゃないんだ、 {groupname} の持ち物なんだよ！ 俺に言われてもどうしようもない！
convo.gang-building.fight.confirm	できることはある。連中に伝えておけ。「今日限りで、お前らの存在はここではお呼びじゃない」とな。\n<indent=15><i>（他組織が支配する店舗を襲撃する。）</i></indent>

	;; 警官との会話
convo.cops.toplevel.blurb.pos	やあ、こんにちは。元気にしていたかね。
convo.cops.toplevel.blurb.neg	また君か。目を光らせているからな。
convo.cops.toplevel.blurb.any	おはよう。
convo.cops.toplevel.waiting	よう。例の「協力関係」を復活させに来たのか？
convo.cops.goodbye	良い一日を。

convo.cops.compliment.say	警察がこの界隈のために尽力してくれていることに、皆感謝していますよ。
convo.cops.compliment.npc	それはどうも。良識ある市民からそう言ってもらえると嬉しいよ。

convo.cops.donation-intro.say	皆さんの多搬な職務に対して、個人的な感謝を示したいと思っているのですが。\n<indent=15><i>（賄賂を提案する。）</i></indent>
convo.cops.donation-rejected.npc	後悔するようなことを口にする前に、その無駄口を叩くのをやめることをお勧めするよ。\n<indent=15><i>（拒絶。信頼関係が足りない。）</i></indent>
convo.cops.donation-rejected.say	ただの世間話ですよ、お巡りさん。熱くならないで。失礼します。

convo.cops.donation-step1.npc	我々は個人的な贈り物は受け取れないことになっている。……だが、どうしても力になりたいと言うなら、設立されたばかりの「警察共済会」は常に支援を求めているよ。
convo.cops.donation-step1.say	それは素晴らしい。どれくらいの「支援」が妥当だと思われますか？
convo.cops.donation-step2.npc	コミュニティのリーダーとして誠意を示したいなら、 {amt} ほどであれば、不適切ではないだろうな。
convo.cops.donation-step2.npc.alt	 {amt} ほどの寄付があれば喜ばれるだろう。先週まではもっと安かったんだが、物価高というやつでね。
convo.cops.donation-step2.say	承知しました。
convo.cops.donation-step3.npc	率直に言って、君のような「立派な」人物がこの界隈を見守ってくれていると知れば、我々も安心だ。おかげで、我々も管轄内の <i>他のエリアに注意を向ける</i> ことができるようになるからね。
convo.cops.donation-step3.sayyes	お役に立てて光栄です。幸い、今すぐその寄付を行うことができますよ。\n<indent=15><i>（ {amt} の賄賂を支払い、 {days} 日間の警察の協力を得る。）</i></indent>
convo.cops.donation-step3.epiyes	上に友人がいるというのは、いいものだろう？
convo.cops.donation-step3.sayno	その額の現金を用意してくる必要がありますね。また来ます。
convo.cops.donation-step3.epino	急がなくていいよ。

convo.cops.donation-happy.say	誠に、この管轄区の治安を守っていただき感謝します。私のささやかな寄付が役に立てば幸いです。
convo.cops.donation-happy.npc	管轄区全体が君の支援に感謝している。リーダーが率先して手本を示すのは素晴らしいことだ。\n\nまたいつでも顔を出したまえ。我々警官は、この街の通りで様々な「落とし物」に出くわすことがあるからね。

	;; 連邦禁酒局関連（チクリ・捜査）
convo.cops.fedhint.say	ところで、連邦禁酒局とはいい関係を築いておられるんですよね？
convo.cops.fedhint-step1.npc	まあ、ヴォルステッド法の執行を支援するために、時々呼び出されることはあるな。
convo.cops.fedhint-step1.say	実は、少しばかり目障りなライバルがいて困っているんです。
convo.cops.fedhint-step2.npc	ほう、 {groupname} とやり合っているという噂は聞いているぞ。
convo.cops.fedhint-step2.say	ええ。そこで、連邦の友人たちが彼らの元を訪ねてくれたら、非常に「好都合」だと思うのですが。
convo.cops.fedhint-step3.npc	フェド（連邦捜査官）のガサ入れか。友人の頼みなら手配してやれるぞ。奴らの拠点の住所は分かるか？
convo.cops.fedhint-step3.sayyes	こちらです。よろしくお願いしますよ。\n<indent=15><i>（ライバル組織へのガサ入れを依頼。1 <sprite name="ui tickets"> 貸しを消費。）</i></indent>
convo.cops.fedhint-step3.epiyes	市民の協力に感謝するよ。
convo.cops.fedhint-step3.sayno	調べてきます。

convo.cops.fedhint-later.npc	ああ、だが今は手が離せないようだ。 {nextdate} 以降にまた聞いてくれ。何とかできるかもしれん。
convo.cops.fedhint-later.say	了解しました。

	;; 釈放のための工作（ケースファイル破棄）
convo.cops.jailpay.say	実は、俺の仲間が最近フェド（連邦）にパクられましてね。
convo.cops.jailpay-step1.npc	 {crewname} のことか？ 噂になってるぞ。公判は {trialdate} に設定されたようだな。
convo.cops.jailpay-step1.say	ええ。そこで何か手はないかと思いまして。裁判沙汰になるのは頭が痛い。
convo.cops.jailpay-step2.npc	だろうな。
convo.cops.jailpay-step2.say	ですが、もし「事件のファイル」に何か不慮の事態でも起きれば、風向きも変わると思うのですが。例えば、紛失するとか。
convo.cops.jailpay-step3.npc	確かに。配管の破裂や不審火はいつでも起きる。誰にとっても「不運な事故」だがな。
convo.cops.jailpay-step3.say	なら、もし {trialdate} までにそんな不運な事故が起きた場合、修理費として寄付をしたいのですが、いかがでしょう？
convo.cops.jailpay-step4.npc	そうだな、修理費として {amt} ほどあれば助かる。
convo.cops.jailpay-step4.sayyes	それでいきましょう。\n<indent=15><i>（ {amt} 支払い、証拠ファイルを破棄させる。）</i></indent>
convo.cops.jailpay-step4.epiyes	署への寄付はいつでも歓迎だよ。

convo.cops.jailpaid.say	例の公判待ちの仲間の件ですが。
convo.cops.jailpaid-step1.npc	 {crewname} か。ひどいニュースを聞いたぞ。
convo.cops.jailpaid-step1.say	何があったんです？
convo.cops.jailpaid-step2.npc	証拠保管庫で大規模な浸水があってね。週末に配管が破裂して、多くの書類が台無しになった。裁判官も起訴を取り下げるしかないだろうな。
convo.cops.jailpaid-step2.say	そいつは……本当にお気の毒に。
convo.cops.jailpaid-step2.epi	全くだ。

	;; 警察からの押収品横流し
convo.cops.weapons.inquire	パトロール中に色々と「面白いブツ」を押収されるんでしょう？ 俺たちのような組織に役立ちそうなものが。
convo.cops.weapons.look-what-i-found	言いたいことは分かった。パトカーの後部座席を覗いてみな。俺はコーヒーでも飲みに行ってくる。……おっと、うっかりしてそれらの押収記録を書くのを忘れてしまったよ。
convo.cops.weapons.billy-club	警棒を無くすなんて災難ですね。またすぐに手に入るとは思いますが。
convo.cops.weapons.switchblade	俺のナイフを見つけてくれたんですね！ 感謝しますよ。
convo.cops.weapons.colt	いいリボルバーだ。有効活用させてもらいますよ。もちろん、シリアルナンバーは「消えて」しまうでしょうが。
convo.cops.weapons.pistol	その小ぶりな拳銃、ポケットに誂え向きだ。貰っておきましょう。
convo.cops.weapons.winchester	部下に「凄み」を持たせるには最高だ。そのショットガンを。
convo.cops.weapons.thompson	街中でサブマシンガンを押収したって？ 物騒な世の中になったもんだ。我々が責任を持って預かっておきますよ。
convo.weapons.epi	役立ててくれ。……だが、あまり頻繁に無くすと目立つからな。今の協力関係が続く限り、時々チェックしに来な。

convo.feds.toplevel.blurb	連邦禁酒局の捜査中だ。一般市民が見るようなものは何もない。そこをどきたまえ。
convo.feds.goodbye	ご苦労様。

;; 住宅イベントのホストとの会話

convo.resevents.toplevel.start.pos.1	あんたが来ることは聞いてるぜ。お近づきになれて光栄だ。
convo.resevents.toplevel.start.neg.1	お前の噂は聞いてるぞ。
convo.resevents.toplevel.start.any.1	よう。あんたが来るって話だったんでな。
convo.resevents.toplevel.start.pos	やあ、こんにちは。調子はどうだい？
convo.resevents.toplevel.start.neg	なんだ？
convo.resevents.toplevel.start.any	元気か？
convo.resevents.toplevel.state.pos	他には何か面白いことはあるか？
convo.resevents.toplevel.state.neg	ああ、分かったよ。
convo.resevents.toplevel.state.any	他にあるか？
convo.resevents.goodbye	また今度な。
convo.resevents.seeyouthen	じゃあ、またその時に。

	;; 駅（公共建築）のNPCとの会話

convo.train-station.icon	<sprite name="ui convo train">
convo.train-station-start-good	この駅は活気があるな。あんたが仕切ってるのか。オフィスへ案内してくれ、話を詰めよう。
convo.train-station-start-bad	誰も何も疑わない、か。面白いな。あんたが俺のことをもっとよく知れば、考えも変わるかもしれん。では、また。
convo.train-station-start-bad.mo	この人物との関係を深めて、この建物でのさらなるアクションを解禁しろ。

convo.train-station-fails	この駅には商機が溢れている。だが、ここがお前の組織の縄張りに収まり、サツを買収するまでは、うかつに話すわけにはいかないな。サツと話をつけたらまた来な。
convo.train-station-cops-fail	お前の組がここを仕切っているのは知っている。だが、サツが嗅ぎ回らないという保証がない限り、お前らと商売の話をするつもりはない。では、失礼。
convo.train-station-territory-fail	地元警察を抱き込んでいるようだな。だが、お前の一家が腰を据えてここを仕切る覚悟があるか見極めたい。ここを縄張りに収めてサツを黙らせたら、続きを話そう。
convo.train-station-passes	ここがお前の縄張りになり、サツも味方につけた今なら、腹を割って話せるな。友よ、ここは金鉱だ。協力し合える儲け話は山ほどある。……だが、一つ小さな問題があってな。

convo.train-station-fails-both	分かった。ここを完全に固めて、サツを黙らせたらまた来る。
convo.train-station-fails-both.mo	この角地を縄張りに加え、地元の警官を買収して、この建物のスペシャルボーナスを解禁しろ。
convo.train-station-territory-pass	サツには、駅の周りで起きることに口を挟まないよう釘を刺しておこう。すぐに金で解決してやる。
